PLAYER_ID,SEASON_ID,TEAM_ID,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
201571,2015-16,1610612760,15.3,1.4,3.6,0.38,0.7,1.8,0.393,0.8,1.0,0.765,0.1,1.1,1.3,1.9,0.4,0.1,0.9,1.2,4.2
201571,2015-16,1610612743,23.5,3.6,8.2,0.445,1.6,3.8,0.411,2.8,3.4,0.819,0.1,1.8,1.9,4.7,0.9,0.1,1.9,1.6,11.6
201571,2015-16,0,19.0,2.4,5.6,0.423,1.1,2.7,0.405,1.7,2.1,0.805,0.1,1.4,1.5,3.2,0.6,0.1,1.4,1.4,7.5
201571,2016-17,1610612753,19.7,2.5,6.6,0.377,1.2,3.5,0.347,1.7,2.1,0.814,0.2,1.3,1.5,2.7,0.4,0.0,1.2,1.3,7.9
201571,2017-18,1610612753,23.5,3.3,7.2,0.452,1.5,3.6,0.419,2.2,2.5,0.868,0.4,1.7,2.1,3.8,0.7,0.0,1.6,1.3,10.2
201571,2018-19,1610612753,27.9,3.9,8.3,0.47,1.6,3.9,0.421,2.3,2.6,0.867,0.5,1.9,2.4,5.2,0.6,0.1,1.5,1.4,11.7
1629028,2018-19,1610612756,30.7,7.2,12.3,0.585,0.0,0.1,0.0,2.0,2.7,0.746,3.1,7.1,10.3,1.8,0.9,0.9,1.8,2.9,16.3
1628407,2017-18,1610612766,13.5,1.4,3.6,0.375,0.2,0.8,0.256,0.4,0.5,0.8,0.1,2.3,2.3,0.7,0.3,0.0,0.4,0.9,3.3
1628407,2018-19,1610612766,16.1,2.5,5.4,0.471,0.8,1.7,0.47,0.9,1.2,0.733,0.2,1.9,2.1,1.0,0.3,0.1,0.4,1.6,6.7
1628963,2018-19,1610612758,25.0,5.6,10.9,0.517,0.4,1.4,0.3,3.0,4.2,0.698,2.6,4.8,7.4,1.0,0.6,1.0,1.6,2.0,14.7
